Index,Year,Filing Type,Rates,Brackets,Max Rate,Min Rate,Max Bracket,Min Bracket,Max-Min Rate Diff,Max-Min Bracket Diff
8636,1913,Head of Household,0.01,0,0.07,0.01,500000,0,0.06,500000
8637,1913,Married Filing Jointly,0.01,0,0.07,0.01,500000,0,0.06,500000
8638,1913,Married Filing Separately,0.01,0,0.07,0.01,500000,0,0.06,500000
8639,1913,Single Filer,0.01,0,0.07,0.01,500000,0,0.06,500000
8640,1913,Head of Household,0.02,20000,0.07,0.01,500000,0,0.06,500000
8641,1913,Married Filing Jointly,0.02,20000,0.07,0.01,500000,0,0.06,500000
8642,1913,Married Filing Separately,0.02,20000,0.07,0.01,500000,0,0.06,500000
8643,1913,Single Filer,0.02,20000,0.07,0.01,500000,0,0.06,500000
8644,1913,Head of Household,0.03,50000,0.07,0.01,500000,0,0.06,500000
8645,1913,Married Filing Jointly,0.03,50000,0.07,0.01,500000,0,0.06,500000
8646,1913,Married Filing Separately,0.03,50000,0.07,0.01,500000,0,0.06,500000
8647,1913,Single Filer,0.03,50000,0.07,0.01,500000,0,0.06,500000
8648,1913,Head of Household,0.04,75000,0.07,0.01,500000,0,0.06,500000
8649,1913,Married Filing Jointly,0.04,75000,0.07,0.01,500000,0,0.06,500000
8650,1913,Married Filing Separately,0.04,75000,0.07,0.01,500000,0,0.06,500000
8651,1913,Single Filer,0.04,75000,0.07,0.01,500000,0,0.06,500000
8652,1913,Head of Household,0.05,100000,0.07,0.01,500000,0,0.06,500000
8653,1913,Married Filing Jointly,0.05,100000,0.07,0.01,500000,0,0.06,500000
8654,1913,Married Filing Separately,0.05,100000,0.07,0.01,500000,0,0.06,500000
8655,1913,Single Filer,0.05,100000,0.07,0.01,500000,0,0.06,500000
8656,1913,Head of Household,0.06,250000,0.07,0.01,500000,0,0.06,500000
8657,1913,Married Filing Jointly,0.06,250000,0.07,0.01,500000,0,0.06,500000
8658,1913,Married Filing Separately,0.06,250000,0.07,0.01,500000,0,0.06,500000
8659,1913,Single Filer,0.06,250000,0.07,0.01,500000,0,0.06,500000
8660,1913,Head of Household,0.07,500000,0.07,0.01,500000,0,0.06,500000
8661,1913,Married Filing Jointly,0.07,500000,0.07,0.01,500000,0,0.06,500000
8662,1913,Married Filing Separately,0.07,500000,0.07,0.01,500000,0,0.06,500000
8663,1913,Single Filer,0.07,500000,0.07,0.01,500000,0,0.06,500000
8608,1914,Head of Household,0.01,0,0.07,0.01,500000,0,0.06,500000
8609,1914,Married Filing Jointly,0.01,0,0.07,0.01,500000,0,0.06,500000
8610,1914,Married Filing Separately,0.01,0,0.07,0.01,500000,0,0.06,500000
8611,1914,Single Filer,0.01,0,0.07,0.01,500000,0,0.06,500000
8612,1914,Head of Household,0.02,20000,0.07,0.01,500000,0,0.06,500000
8613,1914,Married Filing Jointly,0.02,20000,0.07,0.01,500000,0,0.06,500000
8614,1914,Married Filing Separately,0.02,20000,0.07,0.01,500000,0,0.06,500000
8615,1914,Single Filer,0.02,20000,0.07,0.01,500000,0,0.06,500000
8616,1914,Head of Household,0.03,50000,0.07,0.01,500000,0,0.06,500000
8617,1914,Married Filing Jointly,0.03,50000,0.07,0.01,500000,0,0.06,500000
8618,1914,Married Filing Separately,0.03,50000,0.07,0.01,500000,0,0.06,500000
8619,1914,Single Filer,0.03,50000,0.07,0.01,500000,0,0.06,500000
8620,1914,Head of Household,0.04,75000,0.07,0.01,500000,0,0.06,500000
8621,1914,Married Filing Jointly,0.04,75000,0.07,0.01,500000,0,0.06,500000
